what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1291482301125
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1291482301332
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1291482301524
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1291482317130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482318331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1291482321056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1291482322241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291482343217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482343733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482351126
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482358800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482382758
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482386567
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291482394833
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482395222
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1291482395757
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482396617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482407581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482428560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482430791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482536226
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482546794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291482555948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291482567927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291482581706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291482582229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291482586904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482595773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482616448
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482639656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482640310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482640551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291482680359
