what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291097960785
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098021258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098021794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098048907
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098049317
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098055474
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291098056842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098064353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098067466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098068328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098120690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098121873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098146077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291098148033
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099207561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099208415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099284715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099308347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099313665
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099317867
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099319577
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099319771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099321488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099321521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099379642
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291099379660
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291099380371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099390800
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099393109
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1291099405402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291099405452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099405804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099413313
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291099414664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099414992
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099480865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099486973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099525511
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099533518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099542754
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099543836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099553368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099557568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099567652
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099576139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099605212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099607262
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099628021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291099628811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291100609819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291100610608
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291102397803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291102398770
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291118742992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291118745112
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122099122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122108798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122217586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122218256
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122241944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122242924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122243895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122245096
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122255879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291122279672
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291125109439
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291125150649
started,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1291125152221
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291125157411
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291125157550
